global_step,Energy/mae,Energy/mae/atom,Energy/mse,loss
6000,0.68102634,0.04831693,0.80759066,0.6810271
12000,0.6811849,0.048296027,0.80543864,0.68118596
18000,0.680924,0.04832433,0.809566,0.680925
24000,0.68187183,0.048408058,0.80835164,0.68187326
30000,0.68155676,0.048316255,0.8082176,0.6815578
36000,0.6794554,0.04823671,0.8126918,0.6794567
42000,0.6797012,0.048247002,0.8111735,0.67970234
48000,0.6808988,0.048311085,0.8113498,0.68090016
54000,0.6834401,0.048418496,0.8072095,0.6834409
60000,0.68225527,0.048396073,0.8125299,0.6822565
66000,0.6797811,0.048263922,0.8116248,0.67978233
72000,0.6806339,0.048326273,0.8087399,0.6806354
78000,0.68096256,0.04822729,0.8072942,0.6809636
84000,0.6809717,0.048314203,0.8107176,0.6809725
90000,0.67947245,0.0482294,0.81202716,0.6794735
96000,0.68281347,0.048406795,0.80262226,0.6828145
102000,0.6803409,0.048255164,0.8164772,0.6803417
108000,0.6811171,0.04830012,0.80489874,0.6811184
114000,0.680174,0.04820088,0.81145936,0.68017477
120000,0.6828261,0.048389353,0.8095345,0.6828271
126000,0.68300056,0.04841993,0.80887866,0.6830014
132000,0.6782077,0.048096493,0.8096023,0.6782088
138000,0.6842802,0.048546884,0.80849296,0.6842811
144000,0.68116206,0.048295245,0.8022146,0.68116313
150000,0.6679172,0.04715152,0.77672344,0.6679185
156000,0.6651744,0.047037117,0.77826273,0.6651755
162000,0.66380817,0.046890743,0.77034724,0.6638091
168000,0.66463757,0.046998635,0.7794072,0.6646384
174000,0.6706089,0.04745742,0.788354,0.67061013
180000,0.66340595,0.046778154,0.7688112,0.663407
186000,0.6666047,0.047040004,0.7750201,0.6666058
192000,0.6652757,0.04698613,0.7695506,0.66527677
198000,0.6629795,0.046785362,0.76812696,0.6629802
204000,0.6754897,0.047891706,0.79240113,0.67549074
210000,0.66942793,0.04727184,0.7750077,0.66942894
216000,0.66265726,0.046825886,0.77248025,0.66265815
222000,0.669678,0.047221985,0.77824634,0.6696792
228000,0.66610104,0.047157105,0.78181523,0.66610235
234000,0.6662153,0.047012076,0.76714414,0.6662164
240000,0.66392976,0.046782393,0.764006,0.6639306
246000,0.6627025,0.046716005,0.7654964,0.6627034
252000,0.66402876,0.046859805,0.76983905,0.66402996
258000,0.6645155,0.04703054,0.7784579,0.6645166
264000,0.66273564,0.046818294,0.7692983,0.6627369
270000,0.66417944,0.04681677,0.7665116,0.664181
276000,0.66568005,0.04703961,0.77269346,0.6656811
282000,0.6622277,0.04673969,0.7667495,0.6622289
288000,0.66342247,0.04692776,0.77332044,0.6634236
294000,0.6636977,0.046847004,0.7681349,0.6636983
300000,0.66300833,0.04680968,0.76704454,0.66300935
