global_step,Energy/mae,Energy/mae/atom,Energy/mse,loss
9600,0.19673799,0.0135705145,0.10087485,0.29646367
19200,0.16369936,0.0113678295,0.07991398,0.25972563
28800,0.15104139,0.010505487,0.07346837,0.24735013
38400,0.1459753,0.010188477,0.06927108,0.24061546
48000,0.13769098,0.009613592,0.06516627,0.23140278
57600,0.13306774,0.009298377,0.061653864,0.22434941
67200,0.12980354,0.009069149,0.0585813,0.21872278
76800,0.1405101,0.009694644,0.061163433,0.22740376
86400,0.1297893,0.009041219,0.05780337,0.21781385
96000,0.12535164,0.008712505,0.05482349,0.21021736
105600,0.12141768,0.008450026,0.05142431,0.20259719
115200,0.11825761,0.008234816,0.048727892,0.1971042
124800,0.11771161,0.008201896,0.04767915,0.19527815
134400,0.11779741,0.008256534,0.048707716,0.19703105
144000,0.11596189,0.008098823,0.04648191,0.19150051
153600,0.11683409,0.0081916405,0.046527836,0.19259462
163200,0.13497804,0.009500098,0.05418977,0.21296927
172800,0.12583558,0.008851762,0.050028335,0.20300877
182400,0.1231543,0.008627339,0.048700765,0.19919841
192000,0.12303076,0.008619595,0.04805689,0.19836816
201600,0.1252487,0.008757378,0.049704526,0.2018156
211200,0.1219409,0.008577347,0.048188135,0.19929554
220800,0.12899713,0.009088776,0.05103362,0.20741563
230400,0.12258905,0.008651336,0.04969751,0.20265539
240000,0.12055639,0.008446623,0.046925094,0.1949932
249600,0.11770647,0.008243214,0.044043627,0.1883878
259200,0.12180815,0.008561331,0.044731725,0.1910841
268800,0.1200488,0.008455442,0.044622738,0.19005334
278400,0.12180602,0.008464619,0.04461963,0.19132154
288000,0.11712016,0.008197761,0.043443378,0.18683545
297600,0.13838303,0.009674412,0.054143902,0.21584125
307200,0.121486515,0.00849288,0.044537812,0.19103917
316800,0.12018993,0.008418116,0.043172445,0.18864587
326400,0.11870697,0.008300155,0.0428692,0.18765174
336000,0.12222099,0.008511974,0.045113787,0.19317207
345600,0.11957164,0.008369479,0.042662844,0.1870929
355200,0.122459486,0.008564878,0.043788396,0.19222972
364800,0.123279534,0.008615231,0.043068953,0.19105841
374400,0.11905038,0.008308623,0.040990427,0.18455613
384000,0.121557035,0.008513175,0.04197216,0.18672952
393600,0.13319936,0.009508514,0.05553199,0.21616252
403200,0.11893722,0.008310181,0.041665822,0.18571143
412800,0.117906615,0.008237533,0.04156297,0.18461011
422400,0.1275726,0.008876023,0.046279963,0.19676733
432000,0.115574166,0.00808379,0.04135882,0.18355057
441600,0.114107735,0.0079600895,0.039302398,0.17917928
451200,0.12628126,0.008822185,0.045144126,0.19292311
460800,0.11317557,0.007883133,0.038440462,0.1770233
470400,0.11246776,0.007835768,0.03901381,0.1780651
480000,0.117243975,0.008174141,0.04048545,0.1823974
