global_step,Energy/mae,Energy/mae/atom,Energy/mse,loss
8000,0.1893236,0.012950532,0.09216656,0.28809083
16000,0.153474,0.010617534,0.06879421,0.24477689
24000,0.13436067,0.00934439,0.057239775,0.21893981
32000,0.12394861,0.008662737,0.05108452,0.20470338
40000,0.1200999,0.008415495,0.049587578,0.20057304
48000,0.11994315,0.00842059,0.05087022,0.20467865
56000,0.11766872,0.008278692,0.051265758,0.20412906
64000,0.114048034,0.008044592,0.047970124,0.19699785
72000,0.11189033,0.007899372,0.046329662,0.19333485
80000,0.113176495,0.008011353,0.04633325,0.19426444
88000,0.10911069,0.007708829,0.04344054,0.18709859
96000,0.10646949,0.0075415964,0.042558096,0.18423896
104000,0.11229144,0.007948507,0.045410544,0.19259751
112000,0.10802948,0.00764583,0.04443594,0.19058505
120000,0.10779835,0.0076400624,0.045767847,0.19341448
128000,0.10699425,0.0075608445,0.042963937,0.18888459
136000,0.107165925,0.0075102625,0.043572247,0.18912145
144000,0.10277443,0.0072037987,0.037900403,0.176191
152000,0.10379166,0.0072066477,0.03492464,0.16898966
160000,0.10594614,0.007368393,0.037801296,0.17622398
168000,0.10146552,0.0070887194,0.03784779,0.1771117
176000,0.11994443,0.008367427,0.041831303,0.19104393
184000,0.11138258,0.007751444,0.038005486,0.18144837
192000,0.099356875,0.006978287,0.032426875,0.16863935
200000,0.12088562,0.008481381,0.040466774,0.19247016
208000,0.102065705,0.0071119,0.03173294,0.16766575
216000,0.10249497,0.0071907616,0.03015903,0.16544382
224000,0.10670093,0.0074552097,0.031433187,0.1692602
232000,0.10577407,0.007416466,0.03098795,0.16751358
240000,0.10064212,0.0070890635,0.028346736,0.16111869
248000,0.09739273,0.006851887,0.026999652,0.1569346
256000,0.09653933,0.006811568,0.02768921,0.15761459
264000,0.09576039,0.0067401496,0.026264017,0.15379885
272000,0.095625706,0.0067294254,0.02635665,0.15411086
280000,0.10882884,0.007618275,0.030820152,0.16849223
288000,0.09637726,0.0067557953,0.02704018,0.15608738
296000,0.09703897,0.006807637,0.025887525,0.15287589
304000,0.10059398,0.0070463745,0.027332641,0.15764181
312000,0.09925742,0.0069905897,0.027234508,0.15782925
320000,0.10135321,0.0070694247,0.027958471,0.15989959
328000,0.09832573,0.0068692258,0.027909689,0.15865755
336000,0.09846791,0.0068947813,0.028093,0.15914711
344000,0.09642307,0.0067669945,0.025288364,0.15263815
352000,0.09611392,0.0067264624,0.025136163,0.15115052
360000,0.09775256,0.006854798,0.02516795,0.15206315
368000,0.094052136,0.006582404,0.02369683,0.14723928
376000,0.0942961,0.0066094045,0.0236233,0.14714585
384000,0.10072575,0.0070428993,0.02626072,0.15646656
392000,0.09917227,0.00694422,0.02553918,0.15345728
400000,0.09459023,0.0066218893,0.022976864,0.14559539
