global_step,Energy/mae,Energy/mae/atom,Energy/mse,loss
2400,0.42488658,0.028941356,0.3261066,0.5642452
4800,0.26167324,0.01795897,0.15568027,0.38275105
7200,0.21515211,0.014780127,0.121417224,0.33434612
9600,0.18122622,0.0125060575,0.08989943,0.28417957
12000,0.16625336,0.011518551,0.080197655,0.2671683
14400,0.15319887,0.010576559,0.07231341,0.2517917
16800,0.14809471,0.010244904,0.07011349,0.24746263
19200,0.14311585,0.0099007245,0.0656438,0.23973778
21600,0.13788016,0.009542463,0.061475888,0.23194036
24000,0.13522777,0.009362406,0.058188085,0.22652194
26400,0.13302709,0.009223088,0.05490125,0.22057147
28800,0.13109559,0.009093056,0.052534774,0.21703641
31200,0.13008513,0.009050652,0.04930886,0.21259424
33600,0.12743852,0.0088668885,0.045990184,0.20602734
36000,0.12420107,0.008638068,0.0418771,0.1984706
38400,0.12271657,0.008533469,0.040018566,0.1947133
40800,0.121206164,0.008436622,0.03781023,0.19074598
43200,0.11867193,0.008255669,0.035896346,0.18537733
45600,0.118738025,0.0082207145,0.036330964,0.18567486
48000,0.113829695,0.007918523,0.033120126,0.1777074
50400,0.11229951,0.007813035,0.032186367,0.1750283
52800,0.11221486,0.007815371,0.032528136,0.17548506
55200,0.11065776,0.0077111996,0.031229746,0.17256323
57600,0.108421445,0.007565132,0.03009107,0.16910547
60000,0.107955486,0.0075356923,0.029466819,0.16764063
62400,0.10664815,0.007454137,0.028884606,0.16586575
64800,0.10631502,0.0074213687,0.029267134,0.1656052
67200,0.10487271,0.0073106815,0.028251372,0.16319701
69600,0.10449123,0.007293461,0.027998121,0.16222769
72000,0.10413496,0.0072548324,0.028271966,0.16210435
74400,0.10367315,0.0072326534,0.02748533,0.16076644
76800,0.10127423,0.007053668,0.026055198,0.15565984
79200,0.10053314,0.006984964,0.025691796,0.15495363
81600,0.1003806,0.0069706533,0.026028449,0.15509942
84000,0.100164,0.006977045,0.025829997,0.15482867
86400,0.09984582,0.0069563277,0.025929017,0.15489815
88800,0.09855354,0.006856211,0.025275147,0.15277532
91200,0.098135576,0.006827894,0.0249702,0.15222907
93600,0.09679329,0.0067335633,0.024847923,0.15094322
96000,0.09665753,0.00672425,0.025600927,0.1516484
98400,0.1116741,0.0077877217,0.0296049,0.16768089
100800,0.10636502,0.0074172686,0.027901324,0.16175425
103200,0.09790488,0.0068324576,0.025164474,0.15242688
105600,0.09608388,0.0067124,0.02482276,0.15076545
108000,0.09504776,0.006641196,0.024975413,0.15070546
110400,0.09431408,0.006591485,0.02440983,0.1488596
112800,0.09344078,0.0065316022,0.02401664,0.14755483
115200,0.092409775,0.0064548817,0.023780694,0.14638415
117600,0.092286274,0.0064494726,0.023630744,0.14561024
120000,0.0914486,0.0063862414,0.022936448,0.14372708
