global_step,Energy/mae,Energy/mae/atom,Energy/mse,loss
3600,0.32157344,0.022128152,0.21431094,0.44784218
7200,0.24325119,0.016635818,0.14090689,0.3549865
10800,0.19617057,0.013450305,0.10124605,0.29505578
14400,0.19178474,0.013173533,0.09894448,0.29146075
18000,0.17790715,0.01225024,0.08989899,0.27657992
21600,0.16901337,0.011679905,0.08493063,0.2671039
25200,0.17201743,0.011880043,0.08462558,0.26784426
28800,0.15949142,0.011065516,0.0772659,0.2531889
32400,0.15623046,0.010847846,0.07396985,0.24739563
36000,0.15187696,0.010535862,0.06902104,0.24001798
39600,0.14964722,0.010365246,0.064057864,0.23207498
43200,0.14600474,0.010110982,0.06034073,0.2257402
46800,0.14623013,0.010153914,0.058764476,0.22443548
50400,0.14321245,0.009945157,0.055324886,0.21887763
54000,0.14129257,0.0098106805,0.05247707,0.2152398
57600,0.14133786,0.009822143,0.050864514,0.21339543
61200,0.13973503,0.009714214,0.048439454,0.20962653
64800,0.13841535,0.0096300235,0.046087205,0.20575866
68400,0.1371342,0.009543619,0.04429837,0.20311315
72000,0.13580874,0.009459158,0.043171227,0.20037922
75600,0.14135772,0.009824558,0.044373106,0.20485899
79200,0.13907477,0.009684548,0.04283221,0.20107014
82800,0.13631167,0.0094787,0.04118578,0.19736467
86400,0.135291,0.009410877,0.040571433,0.1956154
90000,0.1343838,0.009354888,0.03943224,0.19306676
93600,0.13320608,0.009270748,0.038540162,0.19059935
97200,0.1322423,0.009205041,0.038279228,0.18979454
100800,0.13256125,0.009234667,0.038904544,0.19108362
104400,0.12994479,0.009067443,0.036974262,0.18595286
108000,0.1304318,0.009102948,0.037268296,0.18685827
111600,0.12900282,0.009005775,0.0370076,0.18591817
115200,0.12950483,0.009055653,0.037045673,0.18612902
118800,0.12789895,0.008949016,0.036330845,0.18368042
122400,0.12711184,0.0088897,0.03646146,0.18426219
126000,0.12845774,0.009007044,0.036737412,0.18492986
129600,0.12550032,0.008784639,0.03511793,0.18043496
133200,0.124694474,0.0087382,0.034856707,0.17989108
136800,0.12432949,0.008708599,0.034742706,0.17982498
140400,0.12374137,0.008658038,0.03453378,0.17888482
144000,0.12288718,0.008601012,0.034455918,0.17869565
147600,0.122119434,0.00855332,0.034155097,0.17769828
151200,0.122686446,0.008590194,0.034330625,0.17815955
154800,0.120152816,0.008407076,0.033306092,0.17507145
158400,0.12024333,0.00841773,0.03334115,0.17519167
162000,0.12122862,0.008475526,0.03396524,0.17718726
165600,0.11902389,0.008321347,0.032927554,0.17406395
169200,0.118965164,0.008312971,0.033038605,0.17428146
172800,0.12023953,0.008396305,0.033987578,0.17725697
176400,0.120208174,0.008383353,0.034596223,0.17870231
180000,0.11796747,0.008247433,0.03286144,0.17362103
